Transportadora;CIDADE ORIGEM;CIDADE DESTINO;UF;Até 10kg;Até 20kg;Até 30kg; Até 40kg ; Até 50kg ; Até 60kg ; Até 70kg ;Até 80kg;Até 90kg;Até 100kg;Até 150kg;TX Embarque;Frete Valor;Frete Peso; TX ADM ;GRIS; GRISS MINIMO ; TDE ; TAXA QUIMICO ; QTDE PRAÇA ;FRAÇÃO;MINIMO; Sigla Praça 
ALFA;JOINVILLE;Rio do Sul;SC; R$ 27,20 ; R$ 27,20 ; R$ 32,17 ; R$ 32,17 ;R$ 37,12; R$ 37,12 ; R$ 42,06 ; R$ 42,06 ; R$ 42,06 ; R$ 49,48 ; R$ 61,81 ; R$ 24,73 ;0,20%;0,33730; R$ 4,45 ;0,15%;3,35;;50%;;;;
ALFA;PORTO ALEGRE;RIO GRANDE;RS; R$ 31,63 ; R$ 37,39 ; R$ 37,39 ; R$ 43,15 ; R$ 43,15 ; R$ 48,88 ; R$ 48,88 ; R$ 57,51 ; R$ 57,51 ; R$ 57,51 ; R$ 71,86 ; R$ 28,75 ;0,20%;0,38910; R$ 4,40 ;0,15%; R$ 3,64 ;;50%;;;;
ALFA;PORTO ALEGRE;ROLANTE;RS; R$ 20,56 ; R$ 24,32 ; R$ 24,32 ; R$ 28,06 ; R$ 28,06 ; R$ 31,80 ; R$ 37,43 ; R$ 37,43 ; R$ 37,43 ; R$ 37,43 ; R$ 46,76 ; R$ 18,71 ;0,20%;0,25320; R$ 4,40 ;0,15%; R$ 3,64 ;;50%;;;;
ALFA;JOINVILLE;SALTO DO JACUI;RS; R$ 42,31 ; R$ 51,20 ; R$ 51,20 ; R$ 60,05 ;R$ 60,05; R$ 68,94 ; R$ 69,94 ; R$ 82,25 ; R$ 82,25 ; R$ 82,25 ; R$ 104,40 ; R$ 34,76 ;0,20%;0,51050; R$ 4,45 ;0,15%;3,35;;50%;;;;
ALFA;JOINVILLE;SALTO VELOSO;SC; R$ 32,65 ; R$ 32,65 ; R$ 38,60 ; R$ 38,60 ;R$ 44,55; R$ 44,55 ; R$ 50,46 ; R$ 50,46 ; R$ 50,46 ; R$ 59,37 ; R$ 74,19 ; R$ 29,67 ;0,20%;0,40500; R$ 4,45 ;0,15%;3,35;;50%;;;;
ALFA;PORTO ALEGRE;SALVADOR DO SUL;RS; R$ 18,72 ; R$ 22,14 ; R$ 22,14 ; R$ 25,54 ; R$ 25,54 ; R$ 28,94 ; R$ 28,94 ; R$ 34,07 ; R$ 34,07 ; R$ 34,07 ; R$ 42,57 ; R$ 17,03 ;0,20%;0,23230; R$ 4,40 ;0,15%; R$ 3,64 ;;50%;;;;
ALFA;JOINVILLE;SANTA CECILIA;SC; R$ 32,65 ; R$ 32,65 ; R$ 38,60 ; R$ 38,60 ;R$ 44,55; R$ 44,55 ; R$ 50,46 ; R$ 50,46 ; R$ 50,46 ; R$ 59,37 ; R$ 74,19 ; R$ 29,67 ;0,20%;0,40500; R$ 4,45 ;0,15%;3,35;;50%;;;;
ALFA;PORTO ALEGRE;SANTA CRUZ DO SUL;RS; R$ 26,35 ; R$ 31,16 ; R$ 31,16 ; R$ 35,95 ; R$ 35,95 ; R$ 40,75 ; R$ 40,75 ; R$ 47,93 ; R$ 47,93 ; R$ 47,93 ; R$ 59,88 ; R$ 23,96 ;0,20%;0,32420; R$ 4,40 ;0,15%; R$ 3,64 ;;50%;;;;
ALFA;JOINVILLE;SANTA CRUZ DO TIMBO (PORTO UNIAO );SC; R$ 32,65 ; R$ 32,65 ; R$ 38,60 ; R$ 38,60 ;R$ 44,55; R$ 44,55 ; R$ 50,46 ; R$ 50,46 ; R$ 50,46 ; R$ 59,37 ; R$ 74,19 ; R$ 29,67 ;0,20%;0,40500; R$ 4,45 ;0,15%;3,35;;50%;;;;
ALFA;PORTO ALEGRE;SANTA MARIA;RS; R$ 31,63 ; R$ 37,39 ; R$ 37,39 ; R$ 43,15 ; R$ 43,15 ; R$ 48,88 ; R$ 48,88 ; R$ 57,51 ; R$ 57,51 ; R$ 57,51 ; R$ 71,86 ; R$ 28,75 ;0,20%;0,38910; R$ 4,40 ;0,15%; R$ 3,64 ;;50%;;;;
ALFA;PORTO ALEGRE;SANTA MARIA DO HERVAL;RS; R$ 20,56 ; R$ 24,32 ; R$ 24,32 ; R$ 28,06 ; R$ 28,06 ; R$ 31,80 ; R$ 31,80 ; R$ 37,43 ; R$ 37,43 ; R$ 37,43 ; R$ 46,76 ; R$ 18,71 ;0,20%;0,25320; R$ 4,40 ;0,15%; R$ 3,64 ;;50%;;;;
ALFA;PORTO ALEGRE;SANTA ROSA;RS; R$ 41,23 ; R$ 49,39 ; R$ 49,39 ; R$ 57,51 ; R$ 57,51 ; R$ 65,64 ; R$ 65,64 ; R$ 77,88 ; R$ 77,88 ; R$ 77,88 ; R$ 98,23 ; R$ 37,15 ;0,20%;0,55100; R$ 4,40 ;0,15%; R$ 3,64 ;;50%;;;;
ALFA;Joinville;Santa Terezinha;SC; R$ 27,20 ; R$ 27,20 ; R$ 32,17 ; R$ 32,17 ;R$ 37,12; R$ 37,12 ; R$ 42,06 ; R$ 42,06 ; R$ 42,06 ; R$ 49,48 ; R$ 61,81 ; R$ 24,73 ;0,20%;0,33730; R$ 4,45 ;0,15%;3,35;;50%;;;;
ALFA;PORTO ALEGRE;SANTANA DO LIVRAMENTO;RS; R$ 41,23 ; R$ 49,39 ; R$ 49,39 ; R$ 57,51 ; R$ 57,51 ; R$ 65,64 ; R$ 65,64 ; R$ 77,88 ; R$ 77,88 ; R$ 77,88 ; R$ 98,23 ; R$ 37,15 ;0,20%;0,55100; R$ 4,40 ;0,15%; R$ 3,64 ;;50%;;;;
ALFA;PORTO ALEGRE;SANTIAGO;RS; R$ 41,23 ; R$ 49,39 ; R$ 49,39 ; R$ 57,51 ; R$ 57,51 ; R$ 65,64 ; R$ 65,64 ; R$ 77,88 ; R$ 77,88 ; R$ 77,88 ; R$ 98,23 ; R$ 37,15 ;0,20%;0,55100; R$ 4,40 ;0,15%; R$ 3,64 ;;50%;;;;
ALFA;PORTO ALEGRE;SANTO ANGELO;RS; R$ 37,15 ; R$ 44,34 ; R$ 44,34 ; R$ 51,54 ; R$ 51,54 ; R$ 58,70 ; R$ 58,70 ; R$ 69,48 ; R$ 69,48 ; R$ 69,48 ; R$ 87,45 ; R$ 33,55 ;0,20%;0,48630; R$ 4,40 ;0,15%; R$ 3,64 ;;50%;;;;
ALFA;CHAPECO;SANTO ANGELO;RS; R$ 40,97 ; R$ 48,89 ; R$ 48,89 ; R$ 56,83 ; R$ 56,83 ; R$ 64,73 ; R$ 64,73 ; R$ 76,62 ; R$ 76,62 ; R$ 76,62 ; R$ 96,43 ; R$ 36,99 ;0,20%;0,53630;4,58;0,15%; R$ 5,54 ; R$ 238,04 ;50%;;;;
ALFA;PORTO ALEGRE;SANTO ANTONIO DA PATRULHA;RS; R$ 26,35 ; R$ 31,16 ; R$ 31,16 ; R$ 35,95 ; R$ 35,95 ; R$ 40,75 ; R$ 40,75 ; R$ 47,93 ; R$ 47,93 ; R$ 47,93 ; R$ 59,88 ; R$ 23,96 ;0,20%;0,32420; R$ 4,40 ;0,15%; R$ 3,64 ;;50%;;;;
ALFA;PORTO ALEGRE;SANTO AUGUSTO;RS; R$ 41,23 ; R$ 49,39 ; R$ 49,39 ; R$ 57,51 ; R$ 57,51 ; R$ 65,64 ; R$ 65,64 ; R$ 77,88 ; R$ 77,88 ; R$ 77,88 ; R$ 98,23 ; R$ 37,15 ;0,20%;0,55100; R$ 4,40 ;0,15%; R$ 3,64 ;;50%;;;;
ALFA;PORTO ALEGRE;SANTO CRISTO;RS; R$ 35,77 ; R$ 42,84 ; R$ 42,84 ; R$ 49,89 ; R$ 49,89 ; R$ 56,94 ; R$ 56,94 ; R$ 67,55 ; R$ 67,55 ; R$ 67,55 ; R$ 85,21 ; R$ 32,22 ;0,20%;0,47800; R$ 4,40 ;0,15%; R$ 3,64 ;;50%;;;;
ALFA;JOINVILLE;SAO BERNARDO DO CAMPO;SP; R$ 33,89 ; R$ 40,45 ; R$ 40,45 ; R$ 47,02 ;R$ 47,02; R$ 53,55 ; R$ 53,55 ; R$ 63,39 ; R$ 63,39 ; R$ 63,39 ; R$ 79,78 ; R$ 30,60 ;0,20%;0,44720; R$ 4,45 ;0,15%;3,16;;50%;;;;
ALFA;PORTO ALEGRE;SAO BORJA;RS; R$ 41,23 ; R$ 49,39 ; R$ 49,39 ; R$ 57,51 ; R$ 57,51 ; R$ 65,64 ; R$ 65,64 ; R$ 77,88 ; R$ 77,88 ; R$ 77,88 ; R$ 98,23 ; R$ 37,15 ;0,20%;0,55100; R$ 4,40 ;0,15%; R$ 3,64 ;;50%;;;;
ALFA;PORTO ALEGRE;SAO GABRIEL;RS; R$ 41,23 ; R$ 49,39 ; R$ 49,39 ; R$ 57,51 ; R$ 57,51 ; R$ 65,64 ; R$ 65,64 ; R$ 77,88 ; R$ 77,88 ; R$ 77,88 ; R$ 98,23 ; R$ 37,15 ;0,20%;0,55100; R$ 4,40 ;0,15%; R$ 3,64 ;;50%;;;;
ALFA;PORTO ALEGRE;SAO JERONIMO;RS; R$ 20,56 ; R$ 24,32 ; R$ 24,32 ; R$ 28,06 ; R$ 28,06 ; R$ 31,80 ; R$ 31,80 ; R$ 37,43 ; R$ 37,43 ; R$ 37,43 ; R$ 46,76 ; R$ 18,71 ;0,20%;0,25320; R$ 4,40 ;0,15%; R$ 3,64 ;;50%;;;;
ALFA;JOINVILLE;SAO JOAQUIM;SC; R$ 32,65 ; R$ 32,65 ; R$ 38,60 ; R$ 38,60 ;R$ 44,55; R$ 44,55 ; R$ 50,46 ; R$ 50,46 ; R$ 50,46 ; R$ 59,37 ; R$ 74,19 ; R$ 29,67 ;0,20%;0,40500; R$ 4,45 ;0,15%;3,35;;50%;;;;
ALFA;JOINVILLE;SAO JOSE;SC; R$ 27,20 ; R$ 27,20 ; R$ 32,17 ; R$ 32,17 ;R$ 37,12; R$ 37,12 ; R$ 42,06 ; R$ 42,06 ; R$ 42,06 ; R$ 49,48 ; R$ 61,81 ; R$ 24,73 ;0,20%;0,33730; R$ 4,45 ;0,15%;3,35;;50%;;;;
ALFA;PORTO ALEGRE;SAO JOSE DO HERVAL;RS; R$ 24,81 ; R$ 24,61 ; R$ 24,61 ; R$ 28,39 ; R$ 28,39 ; R$ 32,17 ; R$ 32,17 ; R$ 37,85 ; R$ 37,85 ; R$ 37,85 ; R$ 47,28 ; R$ 18,92 ;0,20%;0,25800; R$ 4,40 ;0,15%; R$ 3,64 ;;50%;;;;
ALFA;PORTO ALEGRE;SAO JOSE DO HORTENCIO;RS; R$ 20,62 ; R$ 24,38 ; R$ 24,38 ; R$ 28,13 ; R$ 28,13 ; R$ 31,88 ; R$ 31,88 ; R$ 37,53 ; R$ 37,53 ; R$ 37,53 ; R$ 46,88 ; R$ 18,75 ;0,20%;0,25380; R$ 4,40 ;0,15%; R$ 3,64 ;;50%;;;;
ALFA;COSMOPOLIS;SAO JOSE DOS PINHAIS;PR; R$ 29,34 ; R$ 35,01 ; R$ 35,01 ; R$ 40,69 ; R$ 40,69 ; R$ 46,35 ; R$ 46,35 ; R$ 54,86 ; R$ 54,86 ; R$ 54,86 ; R$ 69,05 ; R$ 26,49 ;0,20%;0,38710; R$ 3,50 ;0,20%; R$ 3,50 ;;50%;;;;
ALFA;EMBU DAS ARTES;SAO JOSE DOS PINHAIS;PR; R$ 34,62 ; R$ 41,31 ; R$ 41,31 ; R$ 48,02 ; R$ 48,02 ; R$ 54,69 ; R$ 54,69 ; R$ 64,74 ; R$ 64,74 ; R$ 64,74 ; R$ 81,48 ; R$ 31,26 ;0,20%;0,45680; R$ 4,13 ;0,15%; R$ 3,68 ;;50%;;;;
ALFA;OSASCO;SAO JOSE DOS PINHAIS;PR; R$ 34,62 ; R$ 41,31 ; R$ 41,31 ; R$ 48,02 ; R$ 48,02 ; R$ 54,69 ; R$ 54,69 ; R$ 64,74 ; R$ 64,74 ; R$ 64,74 ; R$ 81,48 ; R$ 31,26 ;0,20%;0,45680; R$ 4,13 ;0,15%; R$ 3,68 ;;50%;;;;
ALFA;PORTO ALEGRE;SAO JOSE DOS PINHAIS;PR; R$ 42,65 ; R$ 51,61 ; R$ 51,61 ; R$ 60,53 ; R$ 60,53 ; R$ 69,48 ; R$ 69,48 ; R$ 82,90 ; R$ 82,90 ; R$ 82,90 ; R$ 105,22 ; R$ 38,20 ;0,20%;0,55640; R$ 4,40 ;0,15%; R$ 3,64 ;;50%;;;;
ALFA;SAO PAULO;SAO JOSE DOS PINHAIS;PR; R$ 34,62 ; R$ 41,31 ; R$ 41,31 ; R$ 48,02 ; R$ 48,02 ; R$ 54,69 ; R$ 54,69 ; R$ 64,74 ; R$ 64,74 ; R$ 64,74 ; R$ 81,48 ; R$ 31,26 ;0,20%;0,45680; R$ 4,13 ;0,15%; R$ 3,68 ;;50%;;;;
DILSON RENATO;CHAPECO;BARRACAO;PR; R$ 59,00 ; R$ 65,00 ; R$ 65,00 ; R$ 70,00 ; R$ 70,00 ; R$ 76,00 ; R$ 76,00 ; R$ 76,00 ; R$ 76,00 ; R$ 76,00 ;;;0,50%;0,40000;;;;;;;;;
DILSON RENATO;CHAPECO;CORNELIO PROCOPIO;PR; R$ 59,00 ; R$ 65,00 ; R$ 65,00 ; R$ 70,00 ; R$ 70,00 ; R$ 76,00 ; R$ 76,00 ; R$ 76,00 ; R$ 76,00 ; R$ 76,00 ;;;0,50%;0,40000;;;;;;;;;
DILSON RENATO;CHAPECO;DESCANSO;SC; R$ 49,00 ; R$ 54,00 ; R$ 54,00 ; R$ 59,00 ; R$ 59,00 ; R$ 65,00 ; R$ 65,00 ; R$ 65,00 ; R$ 65,00 ; R$ 65,00 ;;;0,50%;0,40000;;;;;;;;;
DILSON RENATO;CHAPECO;DIONISIO CERQUEIRA;SC; R$ 59,00 ; R$ 65,00 ; R$ 65,00 ; R$ 70,00 ; R$ 70,00 ; R$ 76,00 ; R$ 76,00 ; R$ 76,00 ; R$ 76,00 ; R$ 76,00 ;;;0,50%;0,40000;;;;;;;;;
DILSON RENATO;CHAPECO;FRANCISCO BELTRAO;PR; R$ 49,00 ; R$ 54,00 ; R$ 54,00 ; R$ 59,00 ; R$ 59,00 ; R$ 65,00 ; R$ 65,00 ; R$ 65,00 ; R$ 65,00 ; R$ 65,00 ;;;0,50%;0,40000;;;;;;;;;
DILSON RENATO;CHAPECO;GUARACIABA;SC; R$ 49,00 ; R$ 54,00 ; R$ 54,00 ; R$ 59,00 ; R$ 59,00 ; R$ 65,00 ; R$ 65,00 ; R$ 65,00 ; R$ 65,00 ; R$ 65,00 ;;;0,50%;0,40000;;;;;;;;;
DILSON RENATO;CHAPECO;IPORA DO OESTE;SC; R$ 49,00 ; R$ 54,00 ; R$ 54,00 ; R$ 59,00 ; R$ 59,00 ; R$ 65,00 ; R$ 65,00 ; R$ 65,00 ; R$ 65,00 ; R$ 65,00 ;;;0,50%;0,40000;;;;;;;;;
DILSON RENATO;CHAPECO;ITAPIRANGA;SC; R$ 49,00 ; R$ 54,00 ; R$ 54,00 ; R$ 59,00 ; R$ 59,00 ; R$ 65,00 ; R$ 65,00 ; R$ 65,00 ; R$ 65,00 ; R$ 65,00 ;;;0,50%;0,40000;;;;;;;;;
DILSON RENATO;CHAPECO;MARAVILHA;SC; R$ 32,00 ; R$ 38,00 ; R$ 38,00 ; R$ 43,00 ; R$ 43,00 ; R$ 49,00 ; R$ 49,00 ; R$ 49,00 ; R$ 49,00 ; R$ 49,00 ;;;0,50%;0,40000;;;;;;;;;
DILSON RENATO;CHAPECO;MONDAI;SC; R$ 38,00 ; R$ 43,00 ; R$ 43,00 ; R$ 49,00 ; R$ 49,00 ; R$ 54,00 ; R$ 54,00 ; R$ 54,00 ; R$ 54,00 ; R$ 54,00 ;;;0,50%;0,40000;;;;;;;;;
DILSON RENATO;CHAPECO;PARAISO;SC; R$ 49,00 ; R$ 54,00 ; R$ 54,00 ; R$ 59,00 ; R$ 59,00 ; R$ 65,00 ; R$ 65,00 ; R$ 65,00 ; R$ 65,00 ; R$ 65,00 ;;;0,50%;0,40000;;;;;;;;;
DILSON RENATO;CHAPECO;PINHALZINHO;SC; R$ 27,00 ; R$ 32,00 ; R$ 32,00 ; R$ 38,00 ; R$ 38,00 ; R$ 43,00 ; R$ 43,00 ; R$ 43,00 ; R$ 43,00 ; R$ 43,00 ;;;0,50%;0,40000;;;;;;;;;
DILSON RENATO;CHAPECO;PLANALTO ALEGRE;SC; R$ 32,00 ; R$ 38,00 ; R$ 38,00 ; R$ 43,00 ; R$ 43,00 ; R$ 49,00 ; R$ 49,00 ; R$ 49,00 ; R$ 49,00 ; R$ 49,00 ;;;0,50%;0,40000;;;;;;;;;
DILSON RENATO;CHAPECO;SAO JOAO DO OESTE;SC; R$ 49,00 ; R$ 54,00 ; R$ 54,00 ; R$ 59,00 ; R$ 59,00 ; R$ 65,00 ; R$ 65,00 ; R$ 65,00 ; R$ 65,00 ; R$ 65,00 ;;;0,50%;0,40000;;;;;;;;;
DILSON RENATO;CHAPECO;SAO JOSE DO CEDRO;SC; R$ 49,00 ; R$ 54,00 ; R$ 54,00 ; R$ 59,00 ; R$ 59,00 ; R$ 65,00 ; R$ 65,00 ; R$ 65,00 ; R$ 65,00 ; R$ 65,00 ;;;0,50%;0,40000;;;;;;;;;
DILSON RENATO;CHAPECO;SAO MIGUEL DO OESTE;SC; R$ 32,00 ; R$ 38,00 ; R$ 38,00 ; R$ 43,00 ; R$ 43,00 ; R$ 49,00 ; R$ 49,00 ; R$ 49,00 ; R$ 49,00 ; R$ 49,00 ;;;0,50%;0,40000;;;;;;;;;
Expresso Princesa;ARAPONGAS;CAMPO MOURAO;PR; R$ 33,18 ; R$ 36,19 ; R$ 39,22 ; R$ 45,24 ; R$ 45,24 ; R$ 48,26 ; R$ 48,26 ; R$ 60,31 ; R$ 60,31 ; R$ 60,31 ;;;0,30%;0,61000;;0,10%;;;;;;;
Expresso Princesa;ARAPONGAS;CASCAVEL;PR; R$ 35,35 ; R$ 38,58 ; R$ 41,78 ; R$ 48,21 ; R$ 48,21 ; R$ 51,43 ; R$ 51,43 ; R$ 64,29 ; R$ 64,29 ; R$ 64,29 ;;;0,30%;0,64000;;0,10%;;;;;;;
Expresso Princesa;ARAPONGAS;CIANORTE;PR; R$ 33,18 ; R$ 36,19 ; R$ 39,22 ; R$ 45,24 ; R$ 45,24 ; R$ 48,26 ; R$ 48,26 ; R$ 60,31 ; R$ 60,31 ; R$ 60,31 ;;;0,30%;0,61000;;0,10%;;;;;;;
Expresso Princesa;ARAPONGAS;COLORADO;PR; R$ 35,35 ; R$ 38,58 ; R$ 41,78 ; R$ 48,21 ; R$ 48,21 ; R$ 51,43 ; R$ 51,43 ; R$ 64,29 ; R$ 64,29 ; R$ 64,29 ;;;0,30%;0,64000;;0,10%;;;;;;;
Expresso Princesa;ARAPONGAS;CORNELIO PROCOPIO;PR; R$ 35,35 ; R$ 38,58 ; R$ 41,78 ; R$ 48,21 ; R$ 48,21 ; R$ 51,43 ; R$ 51,43 ; R$ 64,29 ; R$ 64,29 ; R$ 64,29 ;;;0,30%;0,64000;;0,10%;;;;;;;
Expresso Princesa;ARAPONGAS;Curitiba;PR; R$ 35,35 ; R$ 38,58 ; R$ 41,78 ; R$ 48,21 ; R$ 48,21 ; R$ 51,43 ; R$ 51,43 ; R$ 64,29 ; R$ 64,29 ; R$ 64,29 ;;;0,30%;0,64000;;0,10%;;;;;;;
Expresso Princesa;ARAPONGAS;FERNANDES PINHEIRO;PR; R$ 35,35 ; R$ 38,58 ; R$ 41,78 ; R$ 48,21 ; R$ 48,21 ; R$ 51,43 ; R$ 51,43 ; R$ 64,29 ; R$ 64,29 ; R$ 64,29 ;;;0,30%;0,64000;;0,10%;;;;;;;
Expresso Princesa;ARAPONGAS;FOZ DO IGUACU;PR; R$ 35,35 ; R$ 38,58 ; R$ 41,78 ; R$ 48,21 ; R$ 48,21 ; R$ 51,43 ; R$ 51,43 ; R$ 64,29 ; R$ 64,29 ; R$ 64,29 ;;;0,30%;0,64000;;0,10%;;;;;;;
Expresso Princesa;ARAPONGAS;GUARACI;PR; R$ 35,35 ; R$ 38,58 ; R$ 41,78 ; R$ 48,21 ; R$ 48,21 ; R$ 51,43 ; R$ 51,43 ; R$ 64,29 ; R$ 64,29 ; R$ 64,29 ;;;0,30%;0,64000;;0,10%;;;;;;;
Expresso Princesa;ARAPONGAS;IMBAU;PR; R$ 35,35 ; R$ 38,58 ; R$ 41,78 ; R$ 48,21 ; R$ 48,21 ; R$ 51,43 ; R$ 51,43 ; R$ 64,29 ; R$ 64,29 ; R$ 64,29 ;;;0,30%;0,64000;;0,10%;;;;;;;
Expresso Princesa;ARAPONGAS;IRETAMA;PR; R$ 35,35 ; R$ 38,58 ; R$ 41,78 ; R$ 48,21 ; R$ 48,21 ; R$ 51,43 ; R$ 51,43 ; R$ 64,29 ; R$ 64,29 ; R$ 64,29 ;;;0,30%;0,64000;;0,10%;;;;;;;
Expresso Princesa;ARAPONGAS;JOINVILLE;SC; R$ 48,03 ; R$ 55,70 ; R$ 57,63 ; R$ 67,24 ; R$ 64,24 ; R$ 76,83 ; R$ 76,83 ; R$ 96,02 ; R$ 92,02 ; R$ 92,02 ;;;0,30%;0,96000;;0,10%;;;;;;;
Expresso Princesa;ARAPONGAS;MARECHAL CANDIDO RONDON;PR; R$ 35,35 ; R$ 38,58 ; R$ 41,78 ; R$ 48,21 ; R$ 48,21 ; R$ 51,43 ; R$ 51,43 ; R$ 64,29 ; R$ 64,29 ; R$ 64,29 ;;;0,30%;0,64000;;0,10%;;;;;;;
Expresso Princesa;ARAPONGAS;NOVA ESPERANCA;PR; R$ 35,35 ; R$ 38,58 ; R$ 41,78 ; R$ 48,21 ; R$ 48,21 ; R$ 51,43 ; R$ 51,43 ; R$ 64,29 ; R$ 64,29 ; R$ 64,29 ;;;0,30%;0,64000;;0,10%;;;;;;;
Expresso Princesa;ARAPONGAS;PALMEIRA;PR; R$ 35,35 ; R$ 38,58 ; R$ 41,78 ; R$ 48,21 ; R$ 48,21 ; R$ 51,43 ; R$ 51,43 ; R$ 64,29 ; R$ 64,29 ; R$ 64,29 ;;;0,30%;0,64000;;0,10%;;;;;;;
Expresso Princesa;ARAPONGAS;PARANAVAI;PR; R$ 33,18 ; R$ 36,19 ; R$ 39,22 ; R$ 45,24 ; R$ 45,24 ; R$ 48,26 ; R$ 48,26 ; R$ 60,31 ; R$ 60,31 ; R$ 60,31 ;;;0,30%;0,61000;;0,10%;;;;;;;
Expresso Princesa;ARAPONGAS;PONTA GROSSA;PR; R$ 33,18 ; R$ 36,19 ; R$ 39,22 ; R$ 45,24 ; R$ 45,24 ; R$ 48,26 ; R$ 48,26 ; R$ 60,31 ; R$ 60,31 ; R$ 60,31 ;;;0,30%;0,61000;;0,10%;;;;;;;
Expresso Princesa;ARAPONGAS;SANTA FE;PR; R$ 35,35 ; R$ 38,58 ; R$ 41,78 ; R$ 48,21 ; R$ 48,21 ; R$ 51,43 ; R$ 51,43 ; R$ 64,29 ; R$ 64,29 ; R$ 64,29 ;;;0,30%;0,64000;;0,10%;;;;;;;
Expresso Princesa;ARAPONGAS;SAO JOSE DOS PINHAIS;PR; R$ 35,35 ; R$ 38,58 ; R$ 41,78 ; R$ 48,21 ; R$ 48,21 ; R$ 51,43 ; R$ 51,43 ; R$ 64,29 ; R$ 64,29 ; R$ 64,29 ;;;0,30%;0,64000;;0,10%;;;;;;;
Expresso Princesa;ARAPONGAS;TEIXEIRA SOARES;PR; R$ 35,35 ; R$ 38,58 ; R$ 41,78 ; R$ 48,21 ; R$ 48,21 ; R$ 51,43 ; R$ 51,43 ; R$ 64,29 ; R$ 64,29 ; R$ 64,29 ;;;0,30%;0,64000;;0,10%;;;;;;;
Expresso Princesa;ARAPONGAS;TERRA BOA;PR; R$ 35,35 ; R$ 38,58 ; R$ 41,78 ; R$ 48,21 ; R$ 48,21 ; R$ 51,43 ; R$ 51,43 ; R$ 64,29 ; R$ 64,29 ; R$ 64,29 ;;;0,30%;0,64000;;0,10%;;;;;;;
Expresso Princesa;ARAPONGAS;UMUARAMA;PR; R$ 33,18 ; R$ 36,19 ; R$ 39,22 ; R$ 45,24 ; R$ 45,24 ; R$ 48,26 ; R$ 48,26 ; R$ 60,31 ; R$ 60,31 ; R$ 60,31 ;;;0,30%;0,61000;;0,10%;;;;;;;
Expresso Princesa;ARAPONGAS;PRUDENTOPOLIS;PR; R$ 35,35 ; R$ 38,58 ; R$ 41,78 ; R$ 48,21 ; R$ 48,21 ; R$ 51,43 ; R$ 51,43 ; R$ 64,29 ; R$ 64,29 ; R$ 64,29 ;;;0,30%;0,64000;;0,10%;;;;;;;
Expresso Princesa;ARAPONGAS;GUARAPUAVA;PR; R$ 35,35 ; R$ 38,58 ; R$ 41,78 ; R$ 48,21 ; R$ 48,21 ; R$ 51,43 ; R$ 51,43 ; R$ 64,29 ; R$ 64,29 ; R$ 64,29 ;;;0,30%;0,64000;;0,10%;;;;;;;
Expresso Princesa;CORNELIO PROCOPIO;ARAPONGAS;PR; R$ 27,79 ; R$ 30,32 ; R$ 32,84 ; R$ 37,90 ; R$ 37,90 ; R$ 40,43 ; R$ 40,43 ; R$ 50,53 ; R$ 50,53 ; R$ 50,53 ;;;0,30%;0,50000;;0,10%;;;;;;;
Expresso Princesa;CURITIBA;Adrianopolis;PR; R$ 31,86 ; R$ 34,76 ; R$ 37,66 ; R$ 43,47 ; R$ 43,47 ; R$ 46,36 ; R$ 43,36 ; R$ 57,93 ; R$ 57,93 ; R$ 57,93 ;;;0,30%;0,58000;;0,10%;;;;;;;
Expresso Princesa;CURITIBA;AGUAS DE CHAPECO;PR; R$ 31,86 ; R$ 34,76 ; R$ 37,66 ; R$ 43,47 ; R$ 43,47 ; R$ 46,36 ; R$ 43,36 ; R$ 57,93 ; R$ 57,93 ; R$ 57,93 ;;;0,30%;0,58000;;0,10%;;;;;;;
Expresso Princesa;CURITIBA;AGUDOS DO SUL;PR; R$ 31,86 ; R$ 34,76 ; R$ 37,66 ; R$ 43,47 ; R$ 43,47 ; R$ 46,36 ; R$ 46,36 ; R$ 57,93 ; R$ 57,93 ; R$ 57,93 ;;;0,30%;0,58000;;0,10%;;;;;;;
Expresso Princesa;CURITIBA;APUCARANA;PR; R$ 31,86 ; R$ 34,76 ; R$ 37,66 ; R$ 43,47 ; R$ 43,47 ; R$ 46,36 ; R$ 46,36 ; R$ 57,93 ; R$ 57,93 ; R$ 57,93 ;;;0,30%;0,58000;;0,10%;;;;;;;
Expresso Princesa;CURITIBA;ARAPONGAS;PR; R$ 31,86 ; R$ 34,76 ; R$ 37,66 ; R$ 43,47 ; R$ 43,47 ; R$ 46,36 ; R$ 46,36 ; R$ 57,93 ; R$ 57,93 ; R$ 57,93 ;;;0,30%;0,58000;;0,10%;;;;;;;
Expresso Princesa;CURITIBA;ARARUNA;PR; R$ 31,86 ; R$ 34,76 ; R$ 37,66 ; R$ 43,47 ; R$ 43,47 ; R$ 46,36 ; R$ 46,36 ; R$ 57,93 ; R$ 57,93 ; R$ 57,93 ;;;0,30%;0,58000;;0,10%;;;;;;;
Expresso Princesa;CURITIBA;BARRA DO TURVO;SP; R$ 32,92 ; R$ 39,50 ; R$ 42,80 ; R$ 49,38 ; R$ 49,38 ; R$ 52,67 ; R$ 52,67 ; R$ 65,84 ; R$ 65,84 ; R$ 65,84 ;;;0,30%;0,66000;;0,10%;;;;;;;
